Symbol	201414878-01	201414879-01	201414880-01	201414881-01	201414882-01	201414883-01
ENSG00000023041.7	1287	1130	552	1560	1656	1554
ENSG00000023171.10	165	122	44	381	402	430
ENSG00000023191.12	831	275	84	2403	2631	2545
ENSG00000023228.9	6044	5329	2311	7936	8973	7971
ENSG00000023287.8	13823	12141	6490	12275	13409	12551
ENSG00000023318.7	1667	1742	787	1625	1852	1812
ENSG00000023330.10	336	291	127	505	599	586
ENSG00000023445.9	60	64	24	247	347	224
ENSG00000023516.7	3446	3135	1465	4808	5154	5131
ENSG00000023572.4	160	161	63	326	387	369
ENSG00000023608.4	1448	1268	971	1087	1333	1229
ENSG00000023697.8	841	765	324	873	979	887
ENSG00000023734.6	2816	2081	876	3211	3243	3747
ENSG00000023839.6	6	7	3	13	17	19
ENSG00000023892.9	2	2	0	17	9	17
ENSG00000023902.9	1361	881	590	2281	2240	2498
ENSG00000023909.5	506	411	169	690	659	591
ENSG00000024048.6	3030	2481	1256	4109	4638	4298
ENSG00000024422.7	1007	497	238	2325	1730	2959
ENSG00000024526.12	380	430	164	776	875	684
ENSG00000024862.12	240	207	81	380	355	418
ENSG00000025039.10	893	611	342	795	1032	861
ENSG00000025156.8	573	464	235	644	825	675
ENSG00000025293.11	1696	1178	523	1973	1860	2574
ENSG00000025423.7	43	15	17	421	520	395
ENSG00000025434.14	96	58	33	244	230	246
ENSG00000025708.8	1	0	0	1	1	1
ENSG00000025770.14	173	77	18	268	249	259
ENSG00000025772.7	440	286	107	1003	1003	1058
ENSG00000025796.9	2511	2231	1302	3564	3961	3938
ENSG00000025800.9	2043	1540	623	2528	2895	2826
ENSG00000026025.9	131324	105912	39154	175969	181177	173870
ENSG00000026036.16	3	6	1	7	8	12
ENSG00000026103.15	1802	1445	745	2110	2326	2165
ENSG00000026297.11	213	68	47	258	286	269
ENSG00000026508.12	13098	15113	5441	14619	17665	17031
ENSG00000026559.9	22	14	7	53	64	50
ENSG00000026652.9	664	462	215	1179	1307	1190
ENSG00000026751.12	94	79	36	173	156	278
ENSG00000026950.12	221	214	67	519	572	564
ENSG00000027001.7	430	332	162	718	722	711
ENSG00000027075.9	104	64	62	188	185	131
ENSG00000027644.4	2	0	0	2	0	0
ENSG00000027697.8	1299	1198	428	2039	2375	2008
ENSG00000027847.9	230	99	35	231	293	226
ENSG00000027869.7	19	10	3	38	32	48
